MeOw Station [2]
Project & Location: DUNEX - Pea Island, NC
Installation Date: September 16, 2021
DateTime,UnixTime,Battery_V,SonarRange_mm
2021-09-13 08:51:54,1631523114,3.99,723
2021-09-13 08:51:55,1631523115,3.97,723
2021-09-13 08:51:56,1631523116,3.99,723
2021-09-13 08:51:57,1631523117,3.99,723
2021-09-13 08:51:58,1631523118,3.99,723
2021-09-13 08:51:59,1631523119,3.99,723
2021-09-13 08:52:00,1631523120,3.99,723
2021-09-13 08:52:01,1631523121,3.97,723
2021-09-13 08:52:02,1631523122,3.97,723
2021-09-13 08:52:03,1631523123,3.99,723
2021-09-13 08:52:04,1631523124,3.99,723
2021-09-13 08:52:05,1631523125,3.99,723
2021-09-13 08:52:06,1631523126,3.99,723
2021-09-13 08:52:07,1631523127,3.99,723
2021-09-13 08:52:08,1631523128,3.97,723
2021-09-13 08:52:09,1631523129,3.99,723
2021-09-13 08:52:10,1631523130,3.99,724
2021-09-13 08:52:11,1631523131,3.99,724
2021-09-13 08:52:12,1631523132,3.97,723
2021-09-13 08:52:13,1631523133,3.99,724
2021-09-13 08:52:14,1631523134,3.97,723
2021-09-13 08:52:15,1631523135,3.99,723
2021-09-13 08:52:16,1631523136,3.99,723
2021-09-13 08:52:17,1631523137,3.99,724
2021-09-13 08:52:18,1631523138,3.99,724
2021-09-13 08:52:19,1631523139,3.99,724
2021-09-13 08:52:20,1631523140,3.99,723
2021-09-13 08:52:21,1631523141,3.99,725
2021-09-13 08:52:22,1631523142,3.97,725
2021-09-13 08:52:23,1631523143,3.99,725
2021-09-13 08:52:24,1631523144,3.99,725
2021-09-13 08:52:25,1631523145,3.99,725
2021-09-13 08:52:26,1631523146,3.99,724
2021-09-13 08:52:27,1631523147,3.99,724
2021-09-13 08:52:28,1631523148,3.97,724
2021-09-13 08:52:29,1631523149,3.99,725
2021-09-13 08:52:30,1631523150,3.99,725
2021-09-13 08:52:31,1631523151,3.99,725
2021-09-13 08:52:32,1631523152,3.99,723
2021-09-13 08:52:33,1631523153,3.99,723
2021-09-13 08:52:34,1631523154,3.97,725
2021-09-13 08:52:35,1631523155,3.99,724
2021-09-13 08:52:36,1631523156,3.99,725
2021-09-13 08:52:37,1631523157,3.99,725
2021-09-13 08:52:38,1631523158,3.99,725
2021-09-13 08:52:39,1631523159,3.99,723
2021-09-13 08:52:40,1631523160,3.99,725
2021-09-13 08:52:41,1631523161,3.99,724
2021-09-13 08:52:42,1631523162,3.99,725
2021-09-13 08:52:43,1631523163,3.99,724
2021-09-13 08:52:44,1631523164,3.99,724
2021-09-13 08:52:45,1631523165,3.97,724
2021-09-13 08:52:46,1631523166,3.99,723
2021-09-13 08:52:47,1631523167,3.97,723
2021-09-13 08:52:48,1631523168,3.99,724
2021-09-13 08:52:49,1631523169,3.99,724
2021-09-13 08:52:50,1631523170,3.99,724
2021-09-13 08:52:51,1631523171,3.97,724
